DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/01/2013,4:30,BROOKLYN,11207,40.6757357,-73.8968533,"(40.6757357, -73.8968533)",ATLANTIC AVENUE                 ,PENNSYLVANIA AVENUE             ,,0,0,0,0,0,0,0,0,Other Vehicular,Failure to Yield Right-of-Way,,,,165513,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,4:20,MANHATTAN,10013,40.7214219,-73.9990332,"(40.7214219, -73.9990332)",BROOME STREET                   ,CROSBY STREET                   ,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,6554,TAXI,,,,
01/01/2013,4:15,MANHATTAN,10023,40.7793641,-73.9773678,"(40.7793641, -73.9773678)",COLUMBUS AVENUE                 ,WEST 75 STREET                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,53301,TAXI,TAXI,,,
01/01/2013,4:14,STATEN ISLAND,10302,40.6334979,-74.1335724,"(40.6334979, -74.1335724)",ALBION PLACE                    ,HEBERTON AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,286681,PASSENGER VEHICLE,UNKNOWN,,,
01/01/2013,4:00,QUEENS,11378,40.7202128,-73.89177,"(40.7202128, -73.89177)",69 STREET                       ,60 DRIVE                        ,,1,0,1,0,0,0,0,0,Unspecified,,,,,215016,PASSENGER VEHICLE,,,,
01/01/2013,4:00,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3122071,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/01/2013,4:00,,,,,,EDWARD L GRANT HIGHWAY          ,WEST 170 STREET                 ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,86194,PASSENGER VEHICLE,UNKNOWN,,,
01/01/2013,4:00,QUEENS,11418,40.6976104,-73.8200444,"(40.6976104, -73.8200444)",130 STREET                      ,92 AVENUE                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,205111,PASSENGER VEHICLE,UNKNOWN,,,
01/01/2013,4:00,MANHATTAN,10021,40.7717829,-73.9654346,"(40.7717829, -73.9654346)",EAST 72 STREET                  ,MADISON AVENUE                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,47039,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/01/2013,3:45,BROOKLYN,11214,40.6047686,-74.007624,"(40.6047686, -74.007624)",BATH AVENUE                     ,BAY 16 STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,122693,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,3:40,,,,,,,,(LOT) ROCKAWAY BLVD && N CONDUIT AVE    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,269322,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/01/2013,3:38,,,,,,93 STREET                       ,3 AVENUE                        ,,5,0,4,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,141956,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE
01/01/2013,3:36,,,,,,SHELL ROAD                      ,SHORE PARKWAY                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,114371,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/01/2013,3:35,BROOKLYN,11211,40.7172808,-73.9583202,"(40.7172808, -73.9583202)",NORTH 6 STREET                  ,BEDFORD AVENUE                  ,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,199015,SPORT UTILITY / STATION WAGON,,,,
01/01/2013,3:30,BROOKLYN,11221,40.6875573,-73.9389506,"(40.6875573, -73.9389506)",MARCUS GARVEY BOULEVARD         ,GATES AVENUE                    ,,4,0,0,0,0,0,4,0,Unspecified,Unspecified,,,,183189,PASSENGER VEHICLE,UNKNOWN,,,
01/01/2013,3:30,BROOKLYN,11206,40.7007255,-73.9419319,"(40.7007255, -73.9419319)",BROADWAY                        ,FLUSHING AVENUE                 ,,1,0,1,0,0,0,0,0,Unspecified,,,,,195056,PASSENGER VEHICLE,,,,
01/01/2013,3:30,,,40.8432492,-73.9450389,"(40.8432492, -73.9450389)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2873051,PASSENGER VEHICLE,UNKNOWN,,,
01/01/2013,3:30,,,,,,,,INSIDE OF 44 BILLINGS STREET            ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,302091,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2013,3:30,,,,,,EDGECOMBE AVENUE                ,WEST 155 STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,68700,TAXI,PASSENGER VEHICLE,,,
01/01/2013,3:30,MANHATTAN,10018,40.7564889,-73.9977585,"(40.7564889, -73.9977585)",10 AVENUE                       ,WEST 37 STREET                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,18028,OTHER,PASSENGER VEHICLE,,,
01/01/2013,3:28,BROOKLYN,11221,40.693211,-73.912556,"(40.693211, -73.912556)",CORNELIA STREET                 ,WILSON AVENUE                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,185387,PASSENGER VEHICLE,UNKNOWN,,,
01/01/2013,3:26,QUEENS,11426,40.7359534,-73.7147376,"(40.7359534, -73.7147376)",253 STREET                      ,HILLSIDE AVENUE                 ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,221921,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
01/01/2013,3:20,BROOKLYN,11219,40.6301276,-73.9900458,"(40.6301276, -73.9900458)",53 STREET                       ,15 AVENUE                       ,,1,0,0,0,0,0,1,0,Other Vehicular,Unspecified,Unspecified,Unspecified,,131373,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
